,Zip,City,Latitude,Longitude,Cluster Labels20,Cluster Labels10,Cluster Labels5,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
336,78749,Austin,30.216108,-97.85828,14,0,2,Park,Gym,Construction & Landscaping,Pool,Assisted Living,Doctor's Office,Field,Event Space,Eye Doctor,Fabric Shop
64,75230,Dallas,32.901176,-96.79054,14,7,2,Locksmith,Intersection,Baseball Field,Home Service,Paper / Office Supplies Store,Food Service,Food Truck,Event Space,Eye Doctor,Fountain
189,77025,Houston,29.69023,-95.43474,14,7,2,Park,Fried Chicken Joint,Gym,Trail,Gas Station,Bank,Bakery,Burger Joint,Sandwich Place,Lawyer
220,77024,Houston,29.773994,-95.51771,14,7,2,Business Service,Ice Cream Shop,Park,Clothing Store,Coffee Shop,Other Repair Shop,Field,Fabric Shop,Falafel Restaurant,Farm
266,77095,Houston,29.896656,-95.64842,14,7,2,Park,Spa,Business Service,Home Service,Other Great Outdoors,Grocery Store,Mexican Restaurant,Zoo Exhibit,Fast Food Restaurant,Event Space
297,77082,Houston,29.722704,-95.6314,14,7,2,Park,Furniture / Home Store,Playground,Convenience Store,Intersection,Business Service,Cosmetics Shop,Financial or Legal Service,Eye Doctor,Fabric Shop
302,77067,Houston,29.952354,-95.45065,14,7,2,Food,Business Service,Convenience Store,Construction & Landscaping,Vietnamese Restaurant,Gas Station,Home Service,Donut Shop,Flea Market,Fabric Shop
314,78759,Austin,30.406169,-97.75743,14,7,2,Park,Pizza Place,Gym,Gym / Fitness Center,Golf Course,Miscellaneous Shop,Food,Farm,Food Truck,Food Service
316,78729,Austin,30.451348,-97.76588,14,7,2,Park,Gym / Fitness Center,Middle Eastern Restaurant,Playground,Basketball Court,Coffee Shop,Donut Shop,Tennis Court,Intersection,Cosmetics Shop
328,78717,Austin,30.494623,-97.75687,14,7,2,Park,Tennis Court,Outdoor Supply Store,Playground,Home Service,Zoo Exhibit,Fast Food Restaurant,Event Space,Eye Doctor,Fabric Shop
351,78721,Austin,30.272926,-97.68665,14,7,2,Park,Bar,Coffee Shop,Recreation Center,Night Market,Construction & Landscaping,Cajun / Creole Restaurant,Bakery,Zoo Exhibit,Fast Food Restaurant
117,75227,Dallas,32.77003,-96.69,14,9,2,Mexican Restaurant,Arts & Crafts Store,Automotive Shop,Park,Construction & Landscaping,Bakery,Zoo Exhibit,Eye Doctor,Fabric Shop,Falafel Restaurant
101,75236,Dallas,32.685533,-96.91746,14,0,4,Harbor / Marina,Construction & Landscaping,Campground,Zoo Exhibit,Field,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm
223,77048,Houston,29.633081,-95.33761,15,6,2,Grocery Store,Discount Store,Clothing Store,Home Service,Zoo Exhibit,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm,Farmers Market
233,77071,Houston,29.647637,-95.51718,15,6,2,Grocery Store,Bakery,Park,Gas Station,Locksmith,Field,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant
41,75287,Dallas,32.998786,-96.84436,16,7,2,Fried Chicken Joint,Boxing Gym,Sushi Restaurant,Gym / Fitness Center,Lake,Thrift / Vintage Store,Gym,Grocery Store,Bar,General Entertainment
104,75248,Dallas,32.968123,-96.78863,16,7,2,Electronics Store,Pizza Place,Market,Coffee Shop,Sandwich Place,Fast Food Restaurant,Chinese Restaurant,Dessert Shop,Video Store,Bank
176,77070,Houston,29.978801,-95.57655,16,7,2,Fast Food Restaurant,Gym,Video Store,Coffee Shop,Gymnastics Gym,Trail,Bike Trail,Smoothie Shop,Pharmacy,Construction & Landscaping
195,77062,Houston,29.57493,-95.13238,16,7,2,Italian Restaurant,Convenience Store,Science Museum,Coffee Shop,Sandwich Place,Salon / Barbershop,Donut Shop,Fast Food Restaurant,Pizza Place,Martial Arts Dojo
27,75210,Dallas,32.77103,-96.74732,16,9,2,Fried Chicken Joint,Snack Place,Opera House,Thrift / Vintage Store,Music Venue,Recreation Center,Tram Station,Light Rail Station,Fast Food Restaurant,Event Service
31,75216,Dallas,32.710082,-96.7972,16,9,2,Fried Chicken Joint,Grocery Store,Pizza Place,Light Rail Station,Sandwich Place,Fast Food Restaurant,Shoe Store,Pharmacy,BBQ Joint,Discount Store
33,75238,Dallas,32.873926,-96.70922,16,9,2,Fast Food Restaurant,Discount Store,Convenience Store,Pizza Place,Roller Rink,Thrift / Vintage Store,Thai Restaurant,Donut Shop,Bank,Electronics Store
43,75217,Dallas,32.72238,-96.67582,16,9,2,Home Service,Insurance Office,Convenience Store,Nightclub,Fast Food Restaurant,Zoo Exhibit,Financial or Legal Service,Event Space,Eye Doctor,Fabric Shop
55,75253,Dallas,32.679924,-96.60367,16,9,2,Fast Food Restaurant,Ice Cream Shop,Convenience Store,Auto Garage,Mexican Restaurant,Big Box Store,Discount Store,Recreation Center,Food Service,Financial or Legal Service
59,75065,Lake Dallas,33.12635,-97.02525,16,9,2,Gas Station,Food Truck,Sandwich Place,Cosmetics Shop,Stadium,Convenience Store,Basketball Court,Italian Restaurant,Fast Food Restaurant,Discount Store
86,75203,Dallas,32.745831,-96.80672,16,9,2,Light Rail Station,Fast Food Restaurant,Gift Shop,Zoo Exhibit,Dry Cleaner,Park,Paper / Office Supplies Store,Business Service,Bus Stop,Bus Station
118,75243,Dallas,32.912225,-96.73688,16,9,2,Fast Food Restaurant,Convenience Store,Burger Joint,Hotel,Sushi Restaurant,Sandwich Place,Video Store,Fried Chicken Joint,Gas Station,Ethiopian Restaurant
122,75224,Dallas,32.716065,-96.83987,16,9,2,Fast Food Restaurant,Fried Chicken Joint,Home Service,Bank,Grocery Store,Shopping Mall,Sandwich Place,Mobile Phone Shop,Health Food Store,Yoga Studio
139,77074,Houston,29.689781,-95.51161,16,9,2,Convenience Store,Discount Store,Fried Chicken Joint,College Theater,Storage Facility,Café,Mobile Phone Shop,Fast Food Restaurant,Caribbean Restaurant,Basketball Court
152,77001,Houston,29.813142,-95.309789,16,9,2,Gas Station,Department Store,Chinese Restaurant,Park,Fast Food Restaurant,Sandwich Place,Discount Store,Grocery Store,Burger Joint,Fried Chicken Joint
172,77084,Houston,29.839155,-95.66391,16,9,2,Fast Food Restaurant,Furniture / Home Store,Intersection,Convenience Store,Mexican Restaurant,Zoo Exhibit,Financial or Legal Service,Eye Doctor,Fabric Shop,Falafel Restaurant
182,77083,Houston,29.691714,-95.64978,16,9,2,Fast Food Restaurant,Indian Restaurant,Halal Restaurant,Sandwich Place,Gas Station,Thrift / Vintage Store,Pakistani Restaurant,Flea Market,Storage Facility,Mobile Phone Shop
184,77033,Houston,29.66913,-95.33834,16,9,2,Discount Store,Gas Station,Auto Workshop,Coffee Shop,Fast Food Restaurant,Pharmacy,Flower Shop,Grocery Store,Cosmetics Shop,Intersection
199,77085,Houston,29.621746,-95.48695,16,9,2,Clothing Store,Thrift / Vintage Store,Discount Store,Ice Cream Shop,Hardware Store,Fast Food Restaurant,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant
225,77022,Houston,29.825176,-95.37798,16,9,2,Fast Food Restaurant,Mobile Phone Shop,Shoe Store,Discount Store,Breakfast Spot,Department Store,Chinese Restaurant,Pizza Place,French Restaurant,Latin American Restaurant
226,77031,Houston,29.654132,-95.54311,16,9,2,Fried Chicken Joint,Convenience Store,Gas Station,Camera Store,Arts & Crafts Store,Hobby Shop,Business Service,Pizza Place,Taco Place,Motel
262,77028,Houston,29.827315,-95.28631,16,9,2,Fried Chicken Joint,Burger Joint,Convenience Store,American Restaurant,Food,Flea Market,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm
268,77099,Houston,29.668489,-95.5869,16,9,2,Fast Food Restaurant,Taco Place,Pizza Place,Pet Store,Discount Store,Supplement Shop,Pakistani Restaurant,Department Store,Furniture / Home Store,Food
275,77065,Houston,29.927675,-95.60547,16,9,2,Fast Food Restaurant,Spa,Restaurant,Big Box Store,Furniture / Home Store,Mobile Phone Shop,Shipping Store,Sandwich Place,Mexican Restaurant,Pharmacy
278,77021,Houston,29.695879,-95.3573,16,9,2,Pizza Place,Fast Food Restaurant,Pharmacy,Fried Chicken Joint,BBQ Joint,Mobile Phone Shop,Pawn Shop,Shipping Store,Sandwich Place,Bar
293,77026,Houston,29.79437,-95.33395,16,9,2,Fried Chicken Joint,Gas Station,Bank,Fast Food Restaurant,Mexican Restaurant,Nightclub,Discount Store,Food & Drink Shop,Financial or Legal Service,Fountain
298,77078,Houston,29.849424,-95.25951,16,9,2,Fast Food Restaurant,Fried Chicken Joint,Grocery Store,Donut Shop,Food & Drink Shop,Bus Station,Storage Facility,Food,Mobile Phone Shop,Seafood Restaurant
305,77011,Houston,29.742378,-95.30726,16,9,2,Fast Food Restaurant,Mexican Restaurant,Fried Chicken Joint,Snack Place,Seafood Restaurant,Burger Joint,Pizza Place,Chinese Restaurant,Baseball Field,Bank
343,78744,Austin,30.188377,-97.74038,16,9,2,Discount Store,Intersection,Video Store,Fried Chicken Joint,Food Truck,Recreation Center,Golf Course,Fast Food Restaurant,Mexican Restaurant,Zoo Exhibit
136,77068,Houston,30.007886,-95.48532,17,7,2,Golf Course,BBQ Joint,Lake,Arts & Crafts Store,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
214,77069,Houston,29.984672,-95.52887,17,7,2,Bar,Golf Course,Home Service,Zoo Exhibit,Financial or Legal Service,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm,Farmers Market
361,78738,Austin,30.340111,-97.98869,17,7,2,Golf Course,Park,Gymnastics Gym,Lawyer,Business Service,Fast Food Restaurant,Event Service,Event Space,Eye Doctor,Fabric Shop
369,78747,Austin,30.132855,-97.76187,18,5,1,Park,Athletics & Sports,Financial or Legal Service,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
100,75249,Dallas,32.639661,-96.95317,19,7,2,Movie Theater,Park,Recreation Center,Trail,Playground,Nature Preserve,Field,Event Space,Eye Doctor,Fabric Shop
320,78754,Austin,30.354234,-97.64679,19,7,2,Nature Preserve,Pool,Playground,Zoo Exhibit,Financial or Legal Service,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant,Farm
338,78735,Austin,30.250761,-97.84469,19,7,2,Pool,Playground,Gym,Golf Driving Range,Electronics Store,Construction & Landscaping,Performing Arts Venue,Farm,Dog Run,Fast Food Restaurant
363,78739,Austin,30.17207,-97.87284,19,7,2,Park,Music Venue,Pool,Trail,Zoo Exhibit,Field,Event Space,Eye Doctor,Fabric Shop,Falafel Restaurant
257,77050,Houston,29.896156,-95.28687,,,,,,,,,,,,,
299,77209,Houston,29.612816,-95.158517,,,,,,,,,,,,,
364,78725,Austin,30.231583,-97.60992,,,,,,,,,,,,,
366,78714,Austin,30.335787,-97.443751,,,,,,,,,,,,,
377,78730,Austin,30.359935,-97.83125,,,,,,,,,,,,,
